  学号       姓名 性别   学院名称 成绩1 成绩2 成绩3 成绩4 成绩5 成绩6 成绩7 成绩8 成绩9 成绩10 
140301     巴廖甘   男   文法学院    74    72    82    76    78    73    65    76    68    90 
140401     巴隆九   男 外国语学院    60    89    94    70    86    61    95    75    87    64 
140407     柏洹博   女 外国语学院    86    97    97    80    95    74    83    81    87    86 
140110     班慷刚   男   信息学院    53    81    89    64    46    96    76     2    22    82 
140506     班曝临   女   数理学院    77    99    67    84    61    82    74    70    86    87 
140505     包畅津   男   数理学院    93    67    76    97    68    85    62    62    92    86 
140105     毕镔百   男   信息学院    94    60    92    97    96    62    64    87    89    87 
140003     博朗百   男   艺术学院    83    97    75    86    91    77    77    78    73    61 
140210     蔡峦彻   女 计算机学院    27    75    80    77    76    25    82   100    16     1 
140104     陈慷沥   男   信息学院    70    65    83    95    96    73    83    83    67    85 
140907     成技檗   男   航空学院    71    69    63    83   100    75    97   100    89    84 
140408     程枫洪   女 外国语学院    51    89    29    16    77   100     7    22    69     7 
140304     仇晖介   男   文法学院    81   100    67    87    94    81    95    91    70    74 
140208     戴财利   男 计算机学院    78    43    77    21   100    29    16    20    40    82 
140610     单材洪   男   会金学院    78    46    36    67    76    75     3    35    81    57 
140904     邓进灏   男   航空学院    61    92    63    65    76    97    90    63    86    76 
140802     董得管   男     商学院    88    74    92    99    94    88    68    63    70    75 
140607     鄂宽佼   男   会金学院    63    94    97    60    70    77    73    62    96    75 
140002     范藩尖   男   艺术学院    63    63    61    66    93    73    61    88    82    66 
140602     范斐畴   男   会金学院    89    82    88    79    90   100    71    60    75    85 
140204     龚贵归   男 计算机学院    85    91    87    73   100    94    93    98    96    65 
140201     郭琛矿   男 计算机学院    65    99    64    87   100    61    88    99    92   100 
140001     杭登陵   男   艺术学院    65    62    76    75    97    82    79    64    65    68 
140302     郝矶里   男   文法学院    67    83    74    85    91    82    73    98    83    91 
140503     和策近   男   数理学院    69    90    80    78    86    65    95    94    97    93 
140510     洪旅玻   女   数理学院    25    43    64    96    89    38    16    28    48    93 
140809     花陵阜   女     商学院    82    99    77    96    82    93    82    88    66    75 
140803     黄保旅   男     商学院    80    83    70    97    75    88    64    95    66    90 
140710     计家诀   男   化工学院    92    89    91    96    95    93    89    61    66    97 
140308     焦科皓   女   文法学院    64    77    69    83    63    71    89    93    72   100 
140404     解琥俚   男 外国语学院    77    95    88   100    82    99    91    74    74    71 
140708     赖钧瀚   男   化工学院    95    68    96    85    79    68    76    82    79    98 
140205     雷留狄   男 计算机学院    84    80    92    90    84    83    97    69    60    68 
140410     雷留君   女 外国语学院     7    63    14    82    85    89     5    53    23    72 
140406     黎辽利   男 外国语学院    76    74    93    71    74    61    82    99    96    81 
140603     柳钽钩   男   会金学院    86    99    82    66    76    88    83    62    79    71 
140601     麻俚历   男   会金学院    65    77    64    78    92    95    72    70    84    93 
140305     马绸岗   男   文法学院    79    78    80    95    95    63    76    87    98    81 
140303     马觉杠   男   文法学院    69    94    73    82    68    63    90    97    94    97 
140004     米川杰   男   艺术学院    97    76    61    73    77    62    79    86    90   100 
140807     米大淋   男     商学院    67    70    86    66    70    99    80    66    71    82 
140309     米赋皎   女   文法学院    83    34    44    13    86    36    95    86    70    57 
140102     莫柏弘   男   信息学院    66    99    65    62    78    61    64    80    70    84 
140606     宁湖参   男   会金学院    97    69    96    77    83    80    67    65    93    61 
140908     钮达浚   男   航空学院    72    69    70    68    72    83    78    66    84    99 
140703     潘弼宽   男   化工学院    60    80    79    87    73    77    61    92    91    82 
140005     裴桓价   男   艺术学院    63    65    79    68    74    63    78    76    87    65 
140806     齐晁笃   男     商学院    91    91    88    85    93    88    64    67    97    76 
140604     祁浜复   男   会金学院    64    80    71    91    99    93    95    63    74    98 
140103     钱复阜   男   信息学院    66    82    76    66    65    91    95    79    65    67 
140608     乔恳火   男   会金学院    80    75    91    66    74    96    75    61    94    61 
140501     邱嶙解   男   数理学院    66    96    76    63    72    79   100    99    96    95 
140108     屈霭季   男   信息学院    48    96     6    10    35    54     0    27    47    39 
140101     荣国宏   男   信息学院    69    80    84    88    69    69    92    74    95    89 
140701     荣君锤   男   化工学院    87    60    79    75    71    66    68    96   100    78 
140405     阮笃璀   男 外国语学院    79    93    90    61    81    88    91    73    75    78 
140007     山按率   女   艺术学院    95    74    89    75    90    82    97    94    67    61 
140605     施俭倍   男   会金学院    68    77    95    97    72    79    67    76    63    79 
140203     双聆粮   男 计算机学院    92   100    82    89    87    62    68    86    83    98 
140910     水奔横   女   航空学院    95    89    48    76   100    81    12     1    85    88 
140109     水昌瀑   男   信息学院    99    18    21    74    82    25    32    85    24    92 
140805     司径晋   男     商学院    82    85    95    68    89    70    96    84    88    90 
140307     苏胞按   男   文法学院    64    84    69    88    87    83    66    71    72    69 
140402     苏嘉瀚   男 外国语学院    73    77    85    82    95    94    77    89    94    76 
140306     孙炮恒   女   文法学院    91    84    95    77    72    99    72    80    79    82 
140508     孙谛波   男   数理学院    69    78    91    98    64    72    61    79    87    68 
140609     唐寒丛   女   会金学院    90    61    70    94    75    79    93    67    82    91 
140106     童俭棰   男   信息学院    92    60    65    87    82    95    70    80    66    65 
140207     汪桓矶   男 计算机学院    98    68    67    62    84    60    79    86    63    86 
140810     王理磷   男     商学院    89    45    27    60    88    34    89    34    50     0 
